,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
EPS Tag,,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted
DPS Tag,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,CommonStockDividendsPerShareDeclared,CommonStockDividendsPerShareDeclared,CommonStockDividendsPerShareDeclared,CommonStockDividendsPerShareDeclared,CommonStockDividendsPerShareDeclared,CommonStockDividendsPerShareDeclared,,,,,CommonStockDividendsPerShareDeclared,CommonStockDividendsPerShareDeclared,CommonStockDividendsPerShareDeclared
Buyback Tag,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfCommonStock
Dividends Paid Tag,PaymentsOfDividends,PaymentsOfDividends,PaymentsOfDividends,PaymentsOfDividends,PaymentsOfDividends,PaymentsOfDividends,PaymentsOfDividends,PaymentsOfDividends,PaymentsOfDividends,PaymentsOfDividends,PaymentsOfDividends,PaymentsOfDividends,PaymentsOfDividendsCommonStock,PaymentsOfDividendsCommonStock,PaymentsOfDividendsCommonStock,PaymentsOfDividendsCommonStock,PaymentsOfDividendsCommonStock,PaymentsOfDividendsCommonStock
Cash Tag,,,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue
MS Current Tag,,,,,,,,,,,,,,,,,,
MS Noncurrent Tag,,,,,,,,,,,,,,,,,,
LT Debt Tag,,,LongTermDebt,LongTermDebt,LongTermDebt,LongTermDebtNoncurrent,LongTermDebt,LongTermDebt,LongTermDebt,LongTermDebt,LongTermDebt,,LongTermDebt,LongTermDebt,LongTermDebtNoncurrent,LongTermDebtNoncurrent,LongTermDebtNoncurrent,LongTermDebtNoncurrent
ST Debt Tag,,,ShortTermBorrowings,ShortTermBorrowings,LongTermDebtCurrent,,,LongTermDebtCurrent,LongTermDebtCurrent,LongTermDebtCurrent,LongTermDebtCurrent,,LongTermDebtCurrent,LongTermDebtCurrent,LongTermDebtCurrent,LongTermDebtCurrent,LongTermDebtCurrent,LongTermDebtCurrent
Assets Tag,,,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,,Assets,Assets,Assets,Assets,Assets,Assets
AR Tag,,,ReceivablesNetCurrent,ReceivablesNetCurrent,ReceivablesNetCurrent,ReceivablesNetCurrent,ReceivablesNetCurrent,ReceivablesNetCurrent,ReceivablesNetCurrent,ReceivablesNetCurrent,ReceivablesNetCurrent,,ReceivablesNetCurrent,ReceivablesNetCurrent,ReceivablesNetCurrent,ReceivablesNetCurrent,ReceivablesNetCurrent,ReceivablesNetCurrent
Equity Tag,,,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity,StockholdersEquity
Shares Tag,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfDilutedSharesOutstanding
Start,2007-09-03,2008-09-01,2009-08-31,2010-08-30,2011-08-29,2012-09-03,2013-09-02,2014-09-01,2015-08-31,2016-08-29,2017-09-04,2018-09-03,2019-09-02,2020-08-31,2021-08-30,2022-08-29,2023-09-04,2024-09-02
End,2008-08-31,2009-08-30,2010-08-29,2011-08-28,2012-09-02,2013-09-01,2014-08-31,2015-08-30,2016-08-28,2017-09-03,2018-09-02,2019-09-01,2020-08-30,2021-08-29,2022-08-28,2023-09-03,2024-09-01,2025-08-31
