,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Revenue (M),14835.0,19166.0,24509.0,34204.0,48077.0,61093.0,74452.0,88988.0,107006.0,135987.0,177866.0,232887.0,280522.0,386064.0,469822.0,513983.0,574785.0,637959.0,716924.0
Gross Margin (%),22.60195483653522,22.27903579254931,22.567220204822718,,,,,,,,,,,,,,,,
Operating Income (M),655.0,842.0,1129.0,1406.0,862.0,676.0,745.0,178.0,2233.0,4186.0,4106.0,12421.0,14541.0,22899.0,24879.0,12248.0,36852.0,68593.0,79975.0
Operating Margin (%),4.415234243343445,4.393196285088178,4.606471092251826,4.110630335633259,1.79295713126859,1.1065097474342396,1.0006447106860796,0.2000269699285297,2.0867988710913403,3.078235419562164,2.3084794170892695,5.3334879147397665,5.183550666257905,5.931399975133657,5.295409750926947,2.382958191224223,6.41144079960333,10.75194487420038,11.155296795755199
Net Income (M),476.0,645.0,902.0,1152.0,631.0,-39.0,274.0,-241.0,596.0,2371.0,3033.0,10073.0,11588.0,21331.0,33364.0,-2722.0,30425.0,59248.0,77670.0
Net Profit Margin (%),3.2086282440175258,3.365334446415528,3.6802807132073934,3.368027131329669,1.31247790003536,-0.06383710081351383,0.36802234997045075,-0.2708230323189644,0.55697811337682,1.7435490157147373,1.705216286417865,4.3252736305590265,4.130870306072251,5.525249699531684,7.101412875514557,-0.5295895000418301,5.293283575597832,9.287117197186653,10.83378433418326
D&A (M),246.0,311.0,384.0,552.0,1034.0,1653.0,2460.0,3616.0,4949.0,6362.0,11478.0,15341.0,21789.0,25251.0,34296.0,41921.0,48663.0,52795.0,65756.0
EBITDA (M),901.0,1153.0,1513.0,1958.0,1896.0,2329.0,3205.0,3794.0,7182.0,10548.0,15584.0,27762.0,36330.0,48150.0,59175.0,54169.0,85515.0,121388.0,145731.0
R&D Expense (M),,,,,,,,,,,,,,,,,,,
SBC (M),185.0,275.0,341.0,424.0,557.0,833.0,1134.0,1497.0,2119.0,2975.0,4215.0,5418.0,6864.0,9208.0,12757.0,19621.0,24023.0,22011.0,19467.0
Interest Expense (M),77.0,71.0,34.0,39.0,65.0,92.0,141.0,210.0,459.0,484.0,848.0,1417.0,1600.0,1647.0,1809.0,2367.0,3182.0,,
Income Tax (M),184.0,247.0,253.0,352.0,291.0,428.0,161.0,167.0,950.0,1425.0,769.0,1197.0,2374.0,2863.0,4791.0,-3217.0,7120.0,9265.0,19087.0
Effective Tax Rate (%),27.878787878787882,27.413984461709212,21.791559000861326,23.51369405477622,31.156316916488226,78.67647058823529,31.818181818181817,-150.45045045045043,60.58673469387755,36.613566289825286,20.20493956910142,10.62960660687328,16.986262163709213,11.84134337000579,12.557993237398756,54.19474393530997,18.957850733551666,13.503075174162706,19.614432078593374
EPS Diluted ($),1.12,1.49,2.04,2.53,1.37,-0.09,0.59,-0.52,1.25,4.9,6.15,20.14,23.01,41.83,64.81,-0.27,2.9,5.53,7.17
Dividends Per Share ($),,,,,,,,,,,,,,,,,,,
Cash from Operations (M),1405.0,1697.0,3293.0,3495.0,3903.0,4180.0,5475.0,6842.0,11920.0,16443.0,18434.0,30723.0,38514.0,66064.0,46327.0,46752.0,84946.0,115877.0,139514.0
CapEx (M),224.0,333.0,373.0,979.0,1811.0,3785.0,3444.0,4893.0,4589.0,6737.0,11955.0,13427.0,16861.0,40140.0,61053.0,63645.0,52729.0,82999.0,131819.0
Free Cash Flow (M),1181.0,1364.0,2920.0,2516.0,2092.0,395.0,2031.0,1949.0,7331.0,9706.0,6479.0,17296.0,21653.0,25924.0,-14726.0,-16893.0,32217.0,32878.0,7695.0
FCF to Profit Margin (%),,,,,,,,,,,,,,121.53204256715577,-44.13739359788994,,105.8898931799507,55.49216851201728,9.907300115874856
Buyback (M),248.0,100.0,0.0,,277.0,960.0,0.0,0.0,,,,,,0.0,0.0,6000.0,0.0,0.0,
Dividends Paid (M),,,,,,,,,,,,,,,,,,,
Cash (B),,,2.539,2.769,3.444,3.777,5.269,8.084,8.658,14.557,20.522,31.75,36.092,42.122,36.22,53.888,73.387,78.779,
Total Cash (B),,,5.461,7.754,7.751,7.141,9.058,10.943,12.576,21.204,30.986,41.25,55.021,84.396,96.049,70.026,86.78,101.202,
Total Debt (B),,,0.109,0.184,0.513,4.27,4.72,11.401,8.8,9.894,25.042,26.336,26.127,34.329,52.044,73.541,75.676,58.151,
Total Assets (B),,,13.813,18.797,25.278,32.555,40.159,40.159,54.505,64.747,83.402,131.31,162.648,225.248,321.195,420.549,462.675,527.854,
Accounts Receivable (B),,,0.988,1.587,2.571,3.364,4.767,5.612,6.423,8.339,13.164,16.677,20.816,24.542,32.891,42.36,52.253,55.451,
Stockholders Equity (B),,,1.197,2.672,5.257,6.864,7.757,8.192,9.746,10.741,13.384,19.285,27.709,43.549,62.06,93.404,138.245,146.043,
Shares Outstanding (M),424.0,432.0,442.0,456.0,461.0,453.0,465.0,462.0,477.0,484.0,493.0,500.0,504.0,510.0,515.0,10189.0,10492.0,10721.0,10827.0
ROE (%),,,75.35505430242272,43.11377245508982,12.003043560966331,-0.5681818181818182,3.532293412401702,-2.94189453125,6.1153293658937,22.07429475840238,22.661386730424386,52.23230490018149,41.82034717961673,48.98160692553216,53.760876571060265,-2.914222088989765,22.00802922348005,40.568873550940474,
ROA (%),,,6.530080359082024,6.12863754854498,2.496241791280956,-0.11979726616495162,0.682287905575338,-0.6001145446848776,1.0934776625997615,3.6619457272151608,3.6366034387664565,7.6711598507349015,7.124588067483153,9.470006392953545,10.38745933155871,-0.6472491909385114,6.575890203706705,11.22431581460025,
ROIC (%),,,-21.2508615855662,-21.955848542054845,-29.956211417459443,3.6099939600182673,14.856816187614669,5.15377805551216,14.742013639626705,-466.3191766446245,44.0374352324287,253.9624013580478,-1018.6521197278516,-309.71848391688206,120.49125927702889,5.788573719088346,23.49018243341765,57.607227401921094,
Revenue Tag,SalesRevenueNet,SalesRevenueNet,SalesRevenueNet,SalesRevenueNet,SalesRevenueNet,SalesRevenueNet,SalesRevenueNet,SalesRevenueNet,SalesRevenueNet,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerExcludingAssessedTax
Net Income Tag,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss
CFO Tag,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities
CapEx Tag,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquireProductiveAssets
Gross Profit Tag,GrossProfit,GrossProfit,GrossProfit,,,,,,,,,,,,,,,,
Operating Income Tag,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss,OperatingIncomeLoss
D&A Tag,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization,DepreciationDepletionAndAmortization
R&D Tag,,,,,,,,,,,,,,,,,,,
SBC Tag,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation,ShareBasedCompensation
Interest Expense Tag,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,InterestExpense,,
Income Tax Tag,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit
EPS Tag,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted,EarningsPerShareDiluted
DPS Tag,,,,,,,,,,,,,,,,,,,
