,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Revenue (M),209.659,226.26,251.738,349.936,440.943,575.936,711.764,837.63,965.23,1191.832,1399.719,1659.019,1944.135,2182.399,2455.0,2736.2
Gross Margin (%),64.84100372509647,63.05179881552196,64.97668210599909,67.17514059713776,70.70256246272194,72.7436729081009,73.46241169825953,79.24931055477956,77.16575324016037,77.3514220124984,79.3359238532877,81.37646404290729,81.62468141358497,81.02968338970096,79.97963340122199,79.58848037424164
Operating Income (M),31.835,22.775,21.771,27.44,54.154,80.878,11.455,144.905,173.816,273.564,363.547,289.202,432.337,450.949,282.3,4.7
Operating Margin (%),15.184180025660716,10.065853442941748,8.648277177065044,7.841433862191943,12.281405986714836,14.042879764418267,1.6093817613703418,17.299404271575757,18.00772872786797,22.953235019700763,25.972855980378917,17.432108975243803,22.23801330668909,20.662995171826967,11.498981670061099,0.1717710693662744
Net Income (M),18.693,13.289,14.656,9.915,29.734,44.869,-3.465,85.071,122.695,238.334,314.963,227.128,292.564,369.453,374.7,138.7
Net Profit Margin (%),8.915906305000023,5.87333156545567,5.8219259706520265,2.8333752457592247,6.743275207906691,7.790622569174353,-0.48681866461355167,10.156154865513413,12.711478093304187,19.99728149604978,22.50187359034206,13.690500229352406,15.048543439627393,16.928755924100038,15.262729124236252,5.069073898106864
D&A (M),-8.875,-9.873,-9.262,10.511,12.992,15.65,20.524,70.165,63.643,77.743,81.165,116.944,139.558,137.885,107.5,146.9
EBITDA (M),22.96,12.902,12.509,37.951,67.146,96.528,31.979,215.07,237.459,351.307,444.712,406.146,571.895,588.834,389.8,151.6
R&D Expense (M),,,,,,,,,,,,,,,,
SBC (M),6.46,8.306,8.103,12.282,41.549,28.267,34.537,36.349,39.03,41.214,52.255,53.45,63.709,75.207,85.0,89.0
Interest Expense (M),,0.0,0.0,4.832,6.943,10.481,9.411,10.016,9.014,2.83,2.615,21.794,32.316,32.325,31.4,28.0
Income Tax (M),14.395,10.221,7.913,13.219,17.803,26.044,6.046,51.591,42.363,45.681,75.986,43.852,111.404,117.004,126.6,71.4
Effective Tax Rate (%),30.949667820515575,28.061168460355812,22.854749732836556,21.961390217969164,18.89674351462659,17.21917355371901,6.718748263638082,37.750801246871845,25.665523634116493,16.08400964737778,19.436294759674535,16.182744113956748,27.57743187579214,24.05228005764127,25.254338719329745,33.983817229890526
