label,total_return,cagr,max_drawdown,volatility,sharpe,sortino,calmar,alpha,beta,benchmark_return,benchmark_cagr,stop_loss_pct,max_position_weight,momentum_lookback,sma_window,sharpe_rank,cagr_rank,max_drawdown_rank,sortino_rank,calmar_rank,alpha_rank
mw_0.10,11.347614905356695,0.2834295533511364,0.3959018235953627,0.22631071883940285,1.0756430565884139,1.2772434252288534,0.7159086835649935,0.12215678038437737,0.9881354401119715,3.0615190721644403,0.14929206615887702,0.15,0.1,126,200,2,1,6,1,2,1
mw_0.15,11.347614905356709,0.2834295533511364,0.39590182359536286,0.22631071883940274,1.0756430565884143,1.2772434252288534,0.7159086835649933,0.12215678038437688,0.9881354401119709,3.0615190721644403,0.14929206615887702,0.15,0.15,126,200,1,1,7,1,3,2
mw_0.20,9.699985848157135,0.2653097397571349,0.3658644767763591,0.215781471521943,1.0441570268660576,1.2232332667920645,0.7251585125038253,0.10849267599737346,0.9693668239537009,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,3,3,5,3,1,3
mw_0.25,8.42628899682396,0.24948847052001688,0.35174528421180756,0.20835076484746073,1.0054605303387731,1.1750713457860111,0.7092873215886086,0.09868931169235277,0.9410381657741409,3.0615190721644403,0.14929206615887702,0.15,0.25,126,200,4,4,1,4,4,4
mw_0.30,7.773820827395751,0.24062204236060247,0.35281965118532066,0.20366012058256774,0.9850826061907707,1.1431692076438509,0.6819972797779744,0.09353724872795074,0.9220544173888492,3.0615190721644403,0.14929206615887702,0.15,0.3,126,200,5,5,2,5,5,5
mw_0.40,7.353168113375363,0.23458532014840316,0.35569625513849035,0.20143758736489858,0.9659831747086867,1.1179512416892556,0.6595102331259219,0.08947434317229218,0.9138362212461807,3.0615190721644403,0.14929206615887702,0.15,0.4,126,200,6,6,3,6,6,6
mw_0.50,7.3240173385995515,0.23415690584320226,0.35569625513849035,0.20140788886807542,0.9639985153231875,1.1156260975835917,0.6583057945100751,0.08915284649948418,0.9136268118198992,3.0615190721644403,0.14929206615887702,0.15,0.5,126,200,7,7,3,7,7,7
