label,total_return,cagr,max_drawdown,volatility,sharpe,sortino,calmar,alpha,beta,benchmark_return,benchmark_cagr,stop_loss_pct,max_position_weight,momentum_lookback,sma_window,w_value,w_momentum,w_cycle,sharpe_rank,cagr_rank,max_drawdown_rank,sortino_rank,calmar_rank,alpha_rank
baseline,9.699985848157125,0.2653097397571347,0.36586447677635914,0.21578147152194294,1.044157026866057,1.223233266792064,0.7251585125038246,0.10849267599737299,0.9693668239537007,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,,,,2,4,6,4,5,3
value_only,7.7351474984991455,0.2400780580178108,0.3443673206080651,0.20392290078871508,0.9811456057361211,1.1728346660977673,0.6971569125487692,0.08996229821574675,0.9423418643033434,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,1.0,0.0,0.0,6,6,2,6,6,7
momentum_only,13.014486756099437,0.2996662316790508,0.36116692835025355,0.2563433200522853,1.0129627392907599,1.245429896585886,0.8297166992777356,0.12294859384172407,1.1106307585472899,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.0,1.0,0.0,4,1,5,3,2,1
cycle_only,9.85478437040429,0.2671153659788763,0.3454255189064089,0.21354298476555464,1.0635580758048435,1.2519218923021458,0.7732936663873109,0.11401955432351916,0.9398402801842263,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.0,0.0,1.0,1,3,4,2,3,2
value_momentum,9.913555459375612,0.26779482377782426,0.3177353615700245,0.2196754813586023,1.0369606219547451,1.2693474333412196,0.84282348195231,0.10741074697291324,0.9939383588651793,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.5,0.5,0.0,3,2,1,1,1,4
value_cycle,7.711099487840471,0.23973870052781598,0.3698669848847817,0.2097468657362627,0.9522845541776483,1.1082470609582187,0.648175453136207,0.09149644702258303,0.9386877950024594,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.5,0.0,0.5,7,7,7,7,7,6
momentum_cycle,9.134732045653553,0.25851018917649604,0.34540833429689755,0.22037531466218185,0.9915365952464099,1.1912145273053834,0.7484190840464557,0.10454370680547938,0.9662790851429789,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,0.0,0.5,0.5,5,5,3,5,4,5
