,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Dividends Per Share ($),1.18,1.3,0.49,0.2,0.48,0.88,1.15,1.35,1.475,1.515,1.54,1.64,1.92,1.22,0.6,1.1,1.3,1.5
Cash from Operations (M),9286.0,-4788.0,28613.0,18772.0,13665.0,58540.0,57641.0,17529.0,14772.0,169.0,18619.0,36073.0,6730.0,2051.0,-11525.0,27048.0,40358.0,3035.0
CapEx (M),,,,,,,,,,,,,,,,,,
Free Cash Flow (M),,,,,,,,,,,,,,,,,,
FCF to Profit Margin (%),,,,,,,,,,,,,,,,,,
Buyback (M),7418.0,1623.0,220.0,91.0,2416.0,3918.0,5356.0,9414.0,8697.0,8116.0,9908.0,20633.0,24533.0,3415.0,14464.0,6033.0,11851.0,19448.0
Dividends Paid (M),3955.0,4312.0,2125.0,1045.0,2537.0,4565.0,5953.0,6908.0,7400.0,7472.0,7480.0,7692.0,8198.0,4852.0,2422.0,4178.0,4789.0,5133.0
Cash (B),,,,,,,,,,,,,,,,,,
Total Cash (B),,,,,,,,,,,,,,,,,,
Total Debt (B),,,311.935,195.949,180.755,176.47,210.173,237.826,263.054,352.605,352.605,332.3,332.703,271.949,195.098,226.015,297.147,281.884
Total Assets (B),,,1243.646,1258.128,1313.867,1422.968,1527.015,1687.155,1787.632,1930.115,1930.115,1895.883,1927.555,1955.163,1948.068,1881.016,1932.468,1929.845
Accounts Receivable (B),,,,23.763,25.939,25.828,21.422,27.151,26.251,31.056,31.056,34.281,29.137,38.116,20.831,23.646,30.541,19.608
Stockholders Equity (B),,,111.786,126.408,140.241,157.554,170.142,184.394,192.998,199.581,199.581,196.166,187.146,184.887,187.606,179.889,185.735,179.12
Shares Outstanding (M),3382.8,3391.3,4562.7,5263.1,5323.4,5351.5,5371.2,5324.4,5209.8,5108.3,5017.3,4838.4,4425.4,4134.2,4096.2,3837.0,3720.4,3467.6
ROE (%),,,10.980802604977367,9.779444338965888,11.315521138611391,11.99398301534712,12.858670992465118,12.504202956712257,11.862299091182292,10.992028299287005,11.114785475571322,11.415331912767758,10.445855107776817,1.7854148750317762,11.485773376118035,7.32785217550823,10.306081244784236,11.01049575703439
ROA (%),,,0.9870172058608317,0.982570930779698,1.2078087051429103,1.327998943054236,1.4327298684033885,1.3666201386357508,1.2806886428526676,1.1366162119873686,1.1493097561544259,1.1811382875420056,1.0141863656289962,0.16883502807694295,1.1061215522250762,0.700791487153751,0.9905468033623325,1.0219473584666126
ROIC (%),,,,,,,,,,,,,,,,,,
Revenue Tag,InterestAndDividendIncomeOperating,InterestAndDividendIncomeOperating,InterestAndDividendIncomeOperating,InterestAndDividendIncomeOperating,InterestAndDividendIncomeOperating,InterestAndDividendIncomeOperating,InterestAndDividendIncomeOperating,InterestAndDividendIncomeOperating,InterestAndDividendIncomeOperating,Revenues,Revenues,Revenues,Revenues,InterestAndDividendIncomeOperating,InterestAndDividendIncomeOperating,InterestAndDividendIncomeOperating,InterestAndDividendIncomeOperating,InterestAndDividendIncomeOperating
Net Income Tag,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss,NetIncomeLoss
CFO Tag,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities
CapEx Tag,,,,,,,,,,,,,,,,,,
Gross Profit Tag,,,,,,,,,,,,,,,,,,
Operating Income Tag,,,,,,,,,,,,,,,,,,
