label,total_return,cagr,max_drawdown,volatility,sharpe,sortino,calmar,alpha,beta,benchmark_return,benchmark_cagr,stop_loss_pct,max_position_weight,momentum_lookback,sma_window,sharpe_rank,cagr_rank,max_drawdown_rank,sortino_rank,calmar_rank,alpha_rank
mom_21,5.99327597555745,0.21299675622870984,0.37067654591476945,0.2087759938644864,0.8286237944626892,0.9579976750634583,0.5746162215444963,0.06920533956238474,0.9401315593758187,3.0615190721644403,0.14929206615887702,0.15,0.2,21,200,6,6,5,6,6,6
mom_42,7.823889792011975,0.24132312016470614,0.370676905341323,0.2113842517315829,0.952403589744933,1.108568830844178,0.6510336001173135,0.09162293130698068,0.9483357669791728,3.0615190721644403,0.14929206615887702,0.15,0.2,42,200,5,5,6,5,5,5
mom_63,8.389938324585025,0.24900926718945504,0.37066592852316876,0.21361013116879973,0.9784613962166945,1.1375885430584214,0.6717889291351216,0.09670114202200981,0.95852515819404,3.0615190721644403,0.14929206615887702,0.15,0.2,63,200,4,4,4,4,4,4
mom_126,9.699985848157135,0.2653097397571349,0.3658644767763591,0.215781471521943,1.0441570268660576,1.2232332667920645,0.7251585125038253,0.10849267599737346,0.9693668239537009,3.0615190721644403,0.14929206615887702,0.15,0.2,126,200,1,1,3,1,1,1
mom_189,9.191357306907832,0.25920653472280986,0.36450890764928123,0.21471291678352178,1.0209284937608976,1.2012542241074051,0.7111116608766391,0.10459112896599207,0.961832289866901,3.0615190721644403,0.14929206615887702,0.15,0.2,189,200,2,2,2,2,2,2
mom_252,8.57487225390882,0.2514300647727372,0.36034239710287913,0.21568016861339812,0.9802944152539165,1.1549943529798417,0.6977532113739948,0.09686741647639542,0.9728398254857236,3.0615190721644403,0.14929206615887702,0.15,0.2,252,200,3,3,1,3,3,3
