label,total_return,cagr,max_drawdown,volatility,sharpe,sortino,calmar,alpha,beta,benchmark_return,benchmark_cagr,stop_loss_pct,max_position_weight,momentum_lookback,sma_window,sharpe_rank,cagr_rank,max_drawdown_rank,sortino_rank,calmar_rank,alpha_rank
sl0.05_mom21,6.046554274011105,0.21391108897891198,0.37072558175242776,0.2092271264230811,0.8312071763928159,0.9606561635933956,0.577006550148899,0.06942451621569547,0.9441727275343224,3.0615190721644403,0.14929206615887702,0.05,0.2,21,200,21,21,25,21,21,21
sl0.05_mom63,8.194848772784708,0.2464085332711219,0.37071504833549723,0.2135530888666919,0.9665443584380561,1.1239729546215598,0.6646844641928916,0.09468119360095653,0.9579938937307843,3.0615190721644403,0.14929206615887702,0.05,0.2,63,200,19,20,24,20,20,19
sl0.05_mom126,9.64441498862519,0.26465579786458737,0.36574977633364064,0.2154807285193046,1.0425795355729957,1.220084316660345,0.7235979759647636,0.10825332983669612,0.9671677569501447,3.0615190721644403,0.14929206615887702,0.05,0.2,126,200,4,5,11,5,4,4
sl0.05_mom189,9.160200013872876,0.25882381239098473,0.3652214396691837,0.21506544368298436,1.0174754653450526,1.1958395629702354,0.7086763926713241,0.1038089544128782,0.9653756434281515,3.0615190721644403,0.14929206615887702,0.05,0.2,189,200,9,9,10,10,9,10
sl0.05_mom252,8.290479054046498,0.24768952425573176,0.3617164864129795,0.2154163052012478,0.9641309373573301,1.1359240416978527,0.6847615012298315,0.09411021308113314,0.9709190046677548,3.0615190721644403,0.14929206615887702,0.05,0.2,252,200,20,19,4,19,15,20
sl0.10_mom21,5.989799545766177,0.2129368778378118,0.37067654591476945,0.2087774715214442,0.8283311248936592,0.957674277457247,0.5744546834284273,0.06915499148721271,0.9401389501187406,3.0615190721644403,0.14929206615887702,0.1,0.2,21,200,25,25,21,25,25,25
sl0.10_mom63,8.390485564460075,0.24901649371753054,0.3706659285231687,0.21360892070216392,0.9785007715523425,1.1377073418458348,0.6718084252029266,0.09670820587561524,0.9585151933562209,3.0615190721644403,0.14929206615887702,0.1,0.2,63,200,14,15,16,15,16,14
sl0.10_mom126,9.645533307111231,0.2646689882028874,0.3658644767763591,0.2156337475652006,1.0419008654243922,1.2203003506206642,0.7234071767089617,0.10810618692041923,0.9683844112441485,3.0615190721644403,0.14929206615887702,0.1,0.2,126,200,5,4,13,4,5,5
sl0.10_mom189,9.103269752548796,0.25812176770179573,0.3652214396691836,0.21447680778981837,1.0169946576020905,1.1958517183158563,0.7067541487586315,0.1039323372758167,0.9601948062991238,3.0615190721644403,0.14929206615887702,0.1,0.2,189,200,10,10,9,9,10,9
sl0.10_mom252,8.452119711050413,0.24982798084287117,0.3617164864129796,0.21530285787792547,0.9745712756021171,1.1469747757660451,0.6906734700437102,0.0958922628566154,0.9703478729477365,3.0615190721644403,0.14929206615887702,0.1,0.2,252,200,18,14,5,14,14,18
